/home/andy/anaconda3/envs/star/bin/python /home/andy/PycharmProjects/STAR/star/etl/etl_control.py -C /home/andy/PycharmProjects/STAR/star/config/star.yml
2017-05-10 22:04:27,926 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:04:29,689 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:04:29,690 | INFO | etl_control:31 | ETL batch: 20
2017-05-10 22:04:37,789 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:04:39,714 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:04:41,437 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:04:41,437 | INFO | etl_control:31 | ETL batch: 21
2017-05-10 22:04:49,540 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:04:51,437 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:04:53,195 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:04:53,195 | INFO | etl_control:31 | ETL batch: 22
2017-05-10 22:05:01,290 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:05:03,348 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:05:05,106 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:05:05,106 | INFO | etl_control:31 | ETL batch: 23
2017-05-10 22:05:13,258 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:05:15,259 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:05:16,970 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:05:16,970 | INFO | etl_control:31 | ETL batch: 24
2017-05-10 22:05:25,070 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:05:27,048 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:05:28,778 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:05:28,779 | INFO | etl_control:31 | ETL batch: 25
2017-05-10 22:05:36,963 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:05:38,982 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:05:40,751 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:05:40,752 | INFO | etl_control:31 | ETL batch: 26
2017-05-10 22:05:48,911 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:05:50,933 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:05:52,678 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:05:52,678 | INFO | etl_control:31 | ETL batch: 27
2017-05-10 22:06:00,927 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:06:02,999 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:06:04,792 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:06:04,793 | INFO | etl_control:31 | ETL batch: 28
2017-05-10 22:06:13,061 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:06:15,034 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:06:16,792 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:06:16,792 | INFO | etl_control:31 | ETL batch: 29
2017-05-10 22:06:25,361 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:06:27,419 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:06:29,124 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:06:29,124 | INFO | etl_control:31 | ETL batch: 30
2017-05-10 22:06:37,500 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:06:39,564 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:06:41,294 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:06:41,294 | INFO | etl_control:31 | ETL batch: 31
2017-05-10 22:06:49,544 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:06:51,549 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:06:53,323 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:06:53,323 | INFO | etl_control:31 | ETL batch: 32
2017-05-10 22:07:01,771 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:07:03,854 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:07:05,600 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:07:05,601 | INFO | etl_control:31 | ETL batch: 33
2017-05-10 22:07:13,703 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:07:15,743 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:07:17,455 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:07:17,455 | INFO | etl_control:31 | ETL batch: 34
2017-05-10 22:07:25,585 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:07:27,662 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:07:29,391 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:07:29,392 | INFO | etl_control:31 | ETL batch: 35
2017-05-10 22:07:37,558 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:07:39,621 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:07:41,360 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:07:41,361 | INFO | etl_control:31 | ETL batch: 36
2017-05-10 22:07:49,600 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:07:51,686 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:07:53,434 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:07:53,434 | INFO | etl_control:31 | ETL batch: 37
2017-05-10 22:08:01,656 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:08:03,689 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:08:05,434 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:08:05,434 | INFO | etl_control:31 | ETL batch: 38
2017-05-10 22:08:14,141 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:08:16,280 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:08:18,120 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:08:18,121 | INFO | etl_control:31 | ETL batch: 39
2017-05-10 22:08:26,355 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:08:28,437 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:08:30,180 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:08:30,181 | INFO | etl_control:31 | ETL batch: 40
2017-05-10 22:08:38,616 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:08:40,704 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:08:42,475 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:08:42,476 | INFO | etl_control:31 | ETL batch: 41
2017-05-10 22:08:50,693 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:08:52,807 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:08:54,552 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:08:54,553 | INFO | etl_control:31 | ETL batch: 42
2017-05-10 22:09:03,063 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:09:05,272 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:09:07,106 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:09:07,107 | INFO | etl_control:31 | ETL batch: 43
2017-05-10 22:09:15,332 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:09:17,393 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:09:19,065 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:09:19,065 | INFO | etl_control:31 | ETL batch: 44
2017-05-10 22:09:27,656 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:09:29,727 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:09:31,408 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:09:31,408 | INFO | etl_control:31 | ETL batch: 45
2017-05-10 22:09:40,326 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:09:42,444 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:09:44,127 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:09:44,127 | INFO | etl_control:31 | ETL batch: 46
2017-05-10 22:09:52,514 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:09:54,634 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:09:56,374 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:09:56,375 | INFO | etl_control:31 | ETL batch: 47
2017-05-10 22:10:04,680 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:10:06,770 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:10:08,532 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:10:08,532 | INFO | etl_control:31 | ETL batch: 48
2017-05-10 22:10:16,832 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:10:18,945 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:10:20,703 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:10:20,704 | INFO | etl_control:31 | ETL batch: 49
2017-05-10 22:10:29,056 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:10:31,190 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:10:32,941 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:10:32,941 | INFO | etl_control:31 | ETL batch: 50
2017-05-10 22:10:41,558 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:10:43,707 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:10:45,408 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:10:45,409 | INFO | etl_control:31 | ETL batch: 51
2017-05-10 22:10:54,112 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:10:56,318 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:10:58,080 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:10:58,081 | INFO | etl_control:31 | ETL batch: 52
2017-05-10 22:11:06,483 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:11:08,756 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:11:10,504 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:11:10,504 | INFO | etl_control:31 | ETL batch: 53
2017-05-10 22:11:19,235 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:11:21,480 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:11:23,233 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:11:23,233 | INFO | etl_control:31 | ETL batch: 54
2017-05-10 22:11:31,750 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:11:33,998 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:11:35,688 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:11:35,689 | INFO | etl_control:31 | ETL batch: 55
2017-05-10 22:11:44,229 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:11:46,439 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:11:48,157 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:11:48,157 | INFO | etl_control:31 | ETL batch: 56
2017-05-10 22:11:56,493 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:11:58,717 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:12:00,466 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:12:00,466 | INFO | etl_control:31 | ETL batch: 57
2017-05-10 22:12:08,852 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:12:11,034 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:12:12,858 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:12:12,858 | INFO | etl_control:31 | ETL batch: 58
2017-05-10 22:12:21,260 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:12:23,513 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:12:25,305 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:12:25,305 | INFO | etl_control:31 | ETL batch: 59
2017-05-10 22:12:33,757 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:12:36,030 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:12:37,818 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:12:37,818 | INFO | etl_control:31 | ETL batch: 60
2017-05-10 22:12:46,568 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:12:48,891 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:12:50,703 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:12:50,704 | INFO | etl_control:31 | ETL batch: 61
2017-05-10 22:12:59,044 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:13:01,352 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:13:03,086 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:13:03,086 | INFO | etl_control:31 | ETL batch: 62
2017-05-10 22:13:11,412 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:13:13,639 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:13:15,341 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:13:15,342 | INFO | etl_control:31 | ETL batch: 63
2017-05-10 22:13:23,602 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:13:25,835 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:13:27,567 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:13:27,568 | INFO | etl_control:31 | ETL batch: 64
2017-05-10 22:13:36,373 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:13:38,706 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:13:40,562 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:13:40,562 | INFO | etl_control:31 | ETL batch: 65
2017-05-10 22:13:49,539 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:13:51,857 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:13:53,670 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:13:53,670 | INFO | etl_control:31 | ETL batch: 66
2017-05-10 22:14:02,537 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:14:04,906 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:14:06,708 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:14:06,708 | INFO | etl_control:31 | ETL batch: 67
2017-05-10 22:14:15,545 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:14:17,827 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:14:19,570 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:14:19,570 | INFO | etl_control:31 | ETL batch: 68
2017-05-10 22:14:27,832 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:14:30,147 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:14:31,871 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:14:31,871 | INFO | etl_control:31 | ETL batch: 69
2017-05-10 22:14:40,396 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:14:42,751 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:14:44,475 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:14:44,475 | INFO | etl_control:31 | ETL batch: 70
2017-05-10 22:14:52,781 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:14:55,125 | INFO | etl_control:51 | Writing to clean_staging: 10000
